// _________
// \_   ___ \_______  ____   ____  __ __  ______
// /    \  \/\_  __ \/  _ \ /    \|  |  \/  ___/
// \     \____|  | \(  <_> )   |  \  |  /\___ \
//  \______  /|__|   \____/|___|  /____//____  >
//         \/                   \/           \/
//----------------------------------------------------
// 1.0 Traduzido [Vianna]
// 1.1 Atualizado - Renovação [Vianna e ItachiSan]
// 1.2 Bases do HP e SP das 3rd [ItachiSan]
// 1.3 ASPD de todas as classes atualizados [GreenBox]
//----------------------------------------------------

// Database de valores específicos para cada classe
//
// Estrutura da Database:
// ClasseID,FatorPeso,FatorHP,MultiplicadorHP,BaseHP1,BaseHP2,FatorHP2,FatorSP,BaseSP,Escudo,Soco,Adagas,Espadas(1M),Espadas(2M),Lanças(1M),Lanças(2M),Machados(1M),Machados(2M),Maças(1M),Maças(2M),Cajados(1M),Arcos,Soqueiras,Instrumentos,Chicotes,Livros,Katares,Revólveres,Rifles,Espingardas,MetralhadorasGatling,Lança-Granadas,ShurikensHuuma,Cajados(2M)
//
// Aprendiz
0, 20000,0,500,0,0,0,100,0,100,440,590,610,2000,2000,2000,540,2000,540,2000,690,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Espadachim
1, 28000,70,500,0,0,0,200,0,50,440,510,510,580,610,690,590,640,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mago
2, 22000,30,500,0,0,0,600,0,100,540,540,2000,2000,2000,2000,2000,2000,2000,2000,590,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,590
// Arqueiro
3, 26000,50,500,0,0,0,200,0,90,440,590,2000,2000,2000,2000,2000,2000,2000,2000,2000,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Noviço
4, 24000,40,500,0,0,0,500,0,70,440,2000,2000,2000,2000,2000,2000,2000,490,2000,640,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mercador
5, 28000,40,500,0,0,0,300,0,50,440,560,560,2000,2000,2000,520,590,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Gatuno
6, 24000,50,500,0,0,0,200,0,60,440,520,540,2000,2000,2000,640,2000,2000,2000,2000,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Cavaleiro
7, 28000,150,500,0,0,0,300,0,50,440,530,490,560,590,690,540,590,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Sacerdote
8, 26000,75,500,0,0,0,800,0,50,440,2000,2000,2000,2000,2000,2000,2000,470,2000,640,2000,640,2000,2000,480,2000,2000,2000,2000,2000,2000,2000,640
// Bruxo
9, 24000,55,500,0,0,0,900,0,80,540,580,2000,2000,2000,2000,2000,2000,2000,2000,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,570
// Ferreiro
10, 30000,90,500,0,0,0,400,0,50,440,540,540,2000,2000,2000,500,570,520,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Caçador
11, 27000,85,500,0,0,0,400,0,90,440,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,520,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mercenário
12, 24000,110,500,0,0,0,400,0,60,440,460,540,2000,2000,2000,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,460,2000,2000,2000,2000,2000,2000,2000
// Cavaleiro (Peco)
13, 28000,150,500,0,0,0,300,0,50,440,530,490,560,590,690,540,590,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Templário
14, 28000,110,700,0,0,0,470,0,50,440,520,470,590,570,560,540,590,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Monge
15, 26000,90,650,0,0,0,470,0,50,440,2000,2000,2000,2000,2000,2000,2000,470,2000,640,2000,440,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,620
// Sábio
16, 24000,75,500,0,0,0,700,0,100,490,570,2000,2000,2000,2000,2000,2000,2000,2000,590,2000,2000,2000,2000,470,2000,2000,2000,2000,2000,2000,2000,590
// Arruaceiro
17, 24000,85,500,0,0,0,500,0,50,440,490,540,2000,2000,2000,2030,2000,2000,2000,2000,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Alquimista
18, 30000,90,500,0,0,0,400,0,40,440,540,490,2000,2000,2000,490,560,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Bardo
19, 27000,75,300,0,0,0,600,0,70,440,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,520,2000,490,490,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Odalisca
20, 27000,75,300,0,0,0,600,0,70,440,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,520,2000,490,490,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Templário (Peco)
21, 28000,110,700,0,0,0,470,0,50,440,520,470,590,570,560,540,590,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000

// Casamento *
22, 20000,0,500,0,0,0,100,0,90,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Super Aprendiz
23, 20000,0,500,0,0,0,100,0,100,440,590,610,2000,2000,2000,540,2000,540,2000,690,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Justiceiro
24, 28000,88,0,0,0,0,450,0,60,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,490,590,940,540,1040,2000,2000
// Ninja
25, 26000,80,0,0,0,0,515,0,60,440,470,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,590,2000

// Aprendiz High
4001,20000,0,500,0,0,0,100,0,100,440,590,610,2000,2000,2000,540,2000,540,2000,690,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Espadachim High
4002,28000,70,500,0,0,0,200,0,50,440,510,510,580,610,690,590,640,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mago High
4003,22000,30,500,0,0,0,600,0,100,540,540,2000,2000,2000,2000,2000,2000,2000,2000,590,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,590
// Arqueiro High
4004,26000,50,500,0,0,0,200,0,90,440,590,2000,2000,2000,2000,2000,2000,2000,2000,2000,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Noviço High
4005, 24000,40,500,0,0,0,500,0,70,440,2000,2000,2000,2000,2000,2000,2000,490,2000,640,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Mercador High
4006, 28000,40,500,0,0,0,300,0,50,440,560,560,2000,2000,2000,520,590,540,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Gatuno High
4007, 24000,50,500,0,0,0,200,0,60,440,520,540,2000,2000,2000,640,2000,2000,2000,2000,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Lord Cavaleiro
4008, 28000,150,500,0,0,0,300,0,50,440,530,490,560,590,690,540,590,490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Sumo Sacerdote
4009, 26000,75,500,0,0,0,800,0,50,440,2000,2000,2000,2000,2000,2000,2000,470,2000,640,2000,640,2000,2000,480,2000,2000,2000,2000,2000,2000,2000,640
// Arquimago
4010, 24000,55,500,0,0,0,900,0,80,540,580,2000,2000,2000,2000,2000,2000,2000,2000,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,570
// Mestre-Ferreiro
4011, 30000,90,500,0,0,0,400,0,50,440,540,540,2000,2000,2000,500,570,520,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Atirador de Elite
4012, 27000,85,500,0,0,0,400,0,90,440,570,2000,2000,2000,2000,2000,2000,2000,2000,2000,520,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
// Algoz
4013, 24000,110,500,0,0,0,400,0,60,440,460,540,2000,2000,2000,550,2000,2000,2000,2000,2000,2000,2000,2000,2000,460,2000,2000,2000,2000,2000,2000,2000
// Lord Cavaleiro (Peco)
